`AD36`	`20112012`	`Knight, Steve`	`A`	`Knight`	`Steve`	`Knight`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD28`	`20112012`	`Alejo, Luis A.`	`A`	`Alejo`	`Lius`	`Alejo`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD37`	`20112012`	`Gorell, Jeff`	`A`	`Gorell`	`Jeff`	`Gorell`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD47`	`20112012`	`Mitchell, Holly J.`	`A`	`Mitchell`	`Holly`	`Mitchell`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD74`	`20112012`	`Garrick, Martin`	`A`	`Garrick`	`Martin`	`Garrick`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD12`	`20112012`	`Ma, Fiona`	`A`	`Ma`	`Fiona`	`Ma`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD44`	`20112012`	`Portantino, Anthony J.`	`A`	`Portantino`	`Anthony`	`Portantino`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD53`	`20112012`	`Butler, Betsy`	`A`	`Butler`	`Betsy`	`Butler`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD55`	`20112012`	`Furutani, Warren T.`	`A`	`Furutani`	`Warren`	`Furutani`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD38`	`20112012`	`Smyth, Cameron`	`A`	`Smyth`	`Cameron`	`Smyth`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD29`	`20112012`	`Halderman, Linda`	`A`	`Halderman`	`Linda`	`Halderman`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD09`	`20112012`	`Dickinson, Roger`	`A`	`Dickinson`	`Roger`	`Dickinson`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD07`	`20112012`	`Allen, Michael`	`A`	`Allen`	`Michael`	`Allen`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD20`	`20112012`	`Wieckowski, Bob`	`A`	`Wieckowski`	`Bob`	`Wieckowski`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD01`	`20112012`	`Gaines, Ted`	`S`	`Gaines`	`Ted`	`Gaines`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2011-01-06 10:21:12	`Y`
`SD17`	`20112012`	`Runner, Sharon`	`S`	`Runner`	`Sharon`	`Runner`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2011-02-17 00:00:00	`Y`
`SD28`	`20112012`	`Lieu, Ted W.`	`S`	`Lieu`	`Ted`	`Lieu`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2011-02-17 19:27:09	`Y`
`AD04`	`20112012`	`Gaines, Ted`	`A`	`Gaines`	`Ted`	`Gaines`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`N`
`AD21`	`20112012`	`Gordon, Richard S.`	`A`	`Gordon`	`Richard`	`Gordon`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD54`	`20112012`	`Lowenthal, Bonnie`	`A`	`Bonnie Lowenthal`	`Bonnie`	`Lowenthal`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD64`	`20112012`	`Nestande, Brian`	`A`	`Nestande`	`Brian`	`Nestande`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD75`	`20112012`	`Fletcher, Nathan`	`A`	`Fletcher`	`Nathan`	`Fletcher`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD19`	`20112012`	`Hill, Jerry`	`A`	`Hill`	`Jerry`	`Hill`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD22`	`20112012`	`Fong, Paul`	`A`	`Fong`	`Paul`	`Fong`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD25`	`20112012`	`Olsen, Kristin`	`A`	`Olsen`	`Kristin`	`Olsen`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD31`	`20112012`	`Perea, Henry T.`	`A`	`Perea`	`Henry`	`Perea`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
